Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
OXIG.L,1523.6070556640625,2165.0,641.3929443359375,42.097005389384144
PAG.L,470.8299255371094,569.5,98.67007446289062,20.95662767194133
PAGE.L,426.048828125,580.5,154.451171875,36.25198842928985
PCT.L,1602.0,2314.0,712.0,44.44444444444444
PETS.L,268.61871337890625,427.0,158.38128662109375,58.96137489039545
PFC.L,277.6911315917969,118.80000305175781,-158.89112854003906,-57.2186542757899
PFD.L,35.86970901489258,118.0,82.13029098510742,228.96837816835406
PHNX.L,656.9502563476562,660.2000122070312,3.249755859375,0.4946730483738845
PHP.L,145.33734130859375,143.6999969482422,-1.6373443603515625,-1.1265820233184263
PIN.L,243.5,318.0,74.5,30.59548254620123
PLUS.L,740.4044189453125,1447.9400634765625,707.53564453125,95.56069985901985
PNL.L,17.07634162902832,353.686767578125,336.6104259490967,1971.2092511483124
PNN.L,1256.473876953125,1083.0,-173.473876953125,-13.806405380570977
PRTC.L,310.0,272.5,-37.5,-12.096774193548388
PRU.L,1268.27783203125,1235.5,-32.77783203125,-2.5844362491737036
PSH.L,1409.95849609375,2759.945556640625,1349.987060546875,95.74658149775159
PSN.L,2480.339599609375,2394.0,-86.339599609375,-3.4809588018903743
PSON.L,534.1611328125,615.2000122070312,81.03887939453125,15.171242236933274
PTEC.L,327.188232421875,584.0,256.811767578125,78.49052689859369
PZC.L,182.4512481689453,192.8000030517578,10.3487548828125,5.67206581849734
QLT.L,186.68238830566406,159.5998992919922,-27.082489013671875,-14.507254411877573
QQ.L,336.9945983886719,267.79998779296875,-69.19461059570312,-20.532854510592983
RAT.L,1809.3182373046875,1866.0,56.6817626953125,3.13276910200996
RCP.L,2028.9267578125,2550.0,521.0732421875,25.682210566797316
RDW.L,742.6713256835938,609.3798828125,-133.29144287109375,-17.947568225877752
REDD.L,243.1454315185547,384.5,141.3545684814453,58.13581098300767
REL.L,1927.1865234375,2270.0,342.8134765625,17.788287350153716
RHIM.L,3036.182861328125,3404.0,367.817138671875,12.11445935476297
RICA.L,215.92599487304688,300.0,84.07400512695312,38.93649079925935
RIO.L,3683.7392578125,5185.0,1501.2607421875,40.753718901347746
RKT.L,6281.0,6011.0,-270.0,-4.298678554370324
RMV.L,644.5210571289062,649.7999877929688,5.2789306640625,0.8190470436416939
ROR.L,288.6325988769531,338.0,49.367401123046875,17.103889621314977
RR.L,214.705078125,114.5,-100.205078125,-46.67103312137834
RS1.L,662.7999877929688,1111.0,448.20001220703125,67.62221189826431
RSW.L,3911.177978515625,4536.0,624.822021484375,15.97528992330613
RTO.L,456.0070495605469,518.2000122070312,62.192962646484375,13.638596751172951
SAFE.L,758.30419921875,1248.2598876953125,489.9556884765625,64.61202364187669
SAIN.L,399.37249755859375,504.4318542480469,105.05935668945312,26.30610703833941
SBRY.L,187.75656127929688,290.70001220703125,102.94345092773438,54.828150998462874
SCT.L,1125.3402099609375,1642.0,516.6597900390625,45.911430647003776
SDP.L,423.1130676269531,568.0,144.88693237304688,34.243076723120645
SDR.L,339.0101623535156,574.260009765625,235.24984741210938,69.39315499539325
SEIT.L,100.67173767089844,115.5,14.828262329101562,14.72931993840812
SEQI.L,101.76990509033203,102.80000305175781,1.0300979614257812,1.0121832780638396
SGE.L,690.7626953125,720.7999877929688,30.03729248046875,4.34842423951107
SGRO.L,847.9985961914062,1302.0,454.00140380859375,53.53799002116728
SHB.L,870.9458618164062,620.5,-250.44586181640625,-28.755617633234674
SHED.L,137.2115936279297,175.5,38.28840637207031,27.904643740160328
SHEL.L,1994.4000244140625,1886.5999755859375,-107.800048828125,-5.405136758348954
