Ticker,Name,Market,
IGG,IG GROUP HOLDINGS PLC ORD 0.005P,FTSE 250,
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,FTSE 100,
IHP,INTEGRAFIN HOLDINGS PLC ORD 1P,FTSE 250,
III,3I GROUP PLC ORD 73 19/22P,FTSE 100,
IMB,IMPERIAL BRANDS PLC ORD 10P,FTSE 100,
IMI,IMI PLC ORD 28 4/7P,FTSE 250,
INCH,INCHCAPE PLC ORD 10P,FTSE 250,
INDV,INDIVIOR PLC ORD USD0.50,FTSE 250,
INF,INFORMA PLC ORD 0.1P,FTSE 100,
INPP,INTERNATIONAL PUBLIC PARTNERSHIP LD ORD 0.01P,FTSE 250,
INVP,INVESTEC PLC ORD GBP0.0002,FTSE 250,
IPO,IP GROUP PLC ORD 2P,FTSE 250,
ITRK,INTERTEK GROUP PLC ORD 1P,FTSE 100,
ITV,ITV PLC ORD 10P,FTSE 250,
IWG,IWG PLC ORD 1P,FTSE 250,
JAM,JPMORGAN AMERICAN IT PLC ORD 5P,FTSE 250,
JD.,JD SPORTS FASHION PLC ORD 0.05P,FTSE 100,
JDW,WETHERSPOON(J.D.) PLC ORD 2P,FTSE 250,
JEDT,JPMORGAN EURO DISCOVERY TRUST PLC ORD 5P,FTSE 250,
JFJ,JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,FTSE 250,
JGGI,JPMORGAN GLOBAL GWTH & INC PLC ORD 5P,FTSE 250,
JII,JPMORGAN INDIAN INV TRUST PLC ORD 25P,FTSE 250,
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP LTD ORD NPV,FTSE 250,
JMAT,JOHNSON MATTHEY PLC ORD 110 49/53P,FTSE 250,
JMG,JPMORGAN EMERGING MKTS INV TRST PLC ORD 2.5P,FTSE 250,
JTC,JTC PLC ORD GBP0.01,FTSE 250,
JUP,JUPITER FUND MANAGEMENT PLC ORD 2P,FTSE 250,
JUST,JUST GROUP PLC ORD 10P,FTSE 250,
KGF,KINGFISHER PLC ORD 15 5/7P,FTSE 100,
KNOS,KAINOS GROUP PLC ORD 0.5P,FTSE 250,
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,FTSE 100,
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,FTSE 100,
LIO,LIONTRUST ASSET MANAGEMENT PLC ORD 1P,FTSE 250,
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,FTSE 100,
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,FTSE 250,
LRE,LANCASHIRE HOLDINGS LD COM SHS USD0.50,FTSE 250,
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,FTSE 100,
LWDB,LAW DEBENTURE CORPORATION PLC ORD 5P,FTSE 250,
LXI,LXI REIT PLC ORD 1P,FTSE 250,
MAB,MITCHELLS & BUTLERS PLC ORD 8 13/24P,FTSE 250,
MCRO,MICRO FOCUS INTERNATIONAL PLC ORD 10P,FTSE 250,
MDC,MEDICLINIC INTERNATIONAL PLC ORD 10P,FTSE 250,
MGAM,MORGAN ADVANCED MATERIALS PLC ORD 25P,FTSE 250,
MGNS,MORGAN SINDALL GROUP PLC ORD 5P,FTSE 250,
